Name,District-ID,District,Cordenate-X,Cordenate-Y,latitude,longitude,Type
Universidad Autónoma de Madrid. Facultad de Filosofía y Letras,8.0,fuencarral-el pardo,440878.0,4488407.0,4054431755886160,-3698135523802290,University
Universidad Autónoma de Madrid. Facultad de Formación de Profesorado y Educación,8.0,fuencarral-el pardo,441013.0,4488626.0,40544409068541400,-36979002877437000,University
Universidad Autónoma de Madrid. Facultad de Medicina,8.0,fuencarral-el pardo,441449.0,4481418.0,4048138033995380,-369081705203895,University
Universidad Autónoma de Madrid. Facultad de Psicología,8.0,fuencarral-el pardo,441354.0,4488365.0,4054396360557410,-3692581508705480,University
Universidad Camilo José Cela Campus Almagro. Escuela de Postgrado,7.0,chamberi,441049.0,4475559.0,4042858073711880,-3694980319880980,University
Universidad CEU San Pablo. Campus de Moncloa,7.0,chamberi,439160.0,4477139.0,404426780240394,-3717399600089620,University
Universidad Complutense de Madrid. Centro Complutense para la Enseñanza del Español,9.0,moncloa-aravaca,438054.0,4477848.0,4044898329648030,-3730509235855080,University
Universidad Complutense de Madrid. Centro Superior de Idiomas Modernos,9.0,moncloa-aravaca,437924.0,4477649.0,40449963578914896,-3732775678645040,University
Universidad Complutense de Madrid. Escuela Profesional de Medicina Legal y Forense,9.0,moncloa-aravaca,438315.0,4477254.0,40444209689370496,-3724525000209290,University
Universidad Complutense de Madrid. Escuela Profesional de Relaciones Laborales,1.0,centro,439983.0,4475154.0,4042484700930800,-3707520080344630,University
Universidad Complutense de Madrid. Facultad de Bellas Artes,9.0,moncloa-aravaca,437865.0,4476982.0,4043928597346610,-37339297313310496,University
Universidad Complutense de Madrid. Facultad de Ciencias Biológicas,9.0,moncloa-aravaca,438393.0,4477794.0,4044851295451710,-37265182799879296,University
Universidad Complutense de Madrid. Facultad de Ciencias de la Documentación,7.0,chamberi,440497.0,4476628.0,404381713973253,-37015993259151000,University
Universidad Complutense de Madrid. Facultad de Ciencias de la Información,9.0,moncloa-aravaca,438279.0,4477476.0,4044565281311890,-37278198653957000,University
Universidad Complutense de Madrid. Facultad de Ciencias Físicas,9.0,moncloa-aravaca,438431.0,4478061.0,4045093008868160,-37260843872268000,University
Universidad Complutense de Madrid. Facultad de Ciencias Geológicas,9.0,moncloa-aravaca,438460.0,4477802.0,40448599066708400,-3725717316611810,University
Universidad Complutense de Madrid. Facultad de Ciencias Matemáticas,9.0,moncloa-aravaca,438419.0,4477894.0,4044942472705850,-37262214898219104,University
Universidad Complutense de Madrid. Facultad de Ciencias Químicas,9.0,moncloa-aravaca,438430.0,4478044.0,4045085466244560,-37240604104114304,University
Universidad Complutense de Madrid. Facultad de Comercio y Turismo,7.0,chamberi,439657.0,4476807.0,40439714439065600,-37115079872932800,University
Universidad Complutense de Madrid. Facultad de Derecho,9.0,moncloa-aravaca,438033.0,4477994.0,4045029942937780,-37307676043691104,University
Universidad Complutense de Madrid. Facultad de Educación - Centro de Formación del Profesorado,9.0,moncloa-aravaca,439308.0,4478186.0,40450749254097200,-37174574798217600,University
"Universidad Complutense de Madrid. Facultad de Enfermería, Fisioterapia y Podología",9.0,moncloa-aravaca,438493.0,4477279.0,4044388989111180,-3725275188293440,University
Universidad Complutense de Madrid. Facultad de Estudios Estadísticos,9.0,moncloa-aravaca,437965.0,4477255.0,4044710921445560,-3736030211293140,University
Universidad Complutense de Madrid. Facultad de Farmacia,9.0,moncloa-aravaca,438415.0,4477352.0,40445377687821400,-3726162822313480,University
Universidad Complutense de Madrid. Facultad de Filología,9.0,moncloa-aravaca,438051.0,4477841.0,4044902725572580,-37299122889709400,University
Universidad Complutense de Madrid. Facultad de Filosofía,1.0,centro,437551.0,4477884.0,4044898643338130,-37304165442551696,University
Universidad Complutense de Madrid. Facultad de Geografía e Historia,9.0,moncloa-aravaca,437782.0,4477907.0,4044950567301680,-37338667546817200,University
Universidad Complutense de Madrid. Facultad de Informática,9.0,moncloa-aravaca,437779.0,4478289.0,4045293544436470,-37337951823310400,University
Universidad Complutense de Madrid. Facultad de Medicina,9.0,moncloa-aravaca,438415.0,4477352.0,4044405495942560,-3724220903045640,University
Universidad Complutense de Madrid. Facultad de Odontología,9.0,moncloa-aravaca,438470.0,4477304.0,4044255256967300,-3725765855405820,University
Universidad Complutense de Madrid. Facultad de Óptica y Optometría,20.0,san blas-canillejas,447911.0,4475213.0,4042592167588890,-3614071525708840,University
