 ID-EVENTO,Title,District,X-coordinate,Y-coordinate,Latitude,Length,Type
11953604,La amiga de mi amiga,san blas-canillejas,448023.0,4477305.0,4044477474902180.0,-3.61291058446337e+16,['CineActividadesAudiovisuales']
11292797,La atmósfera,fuencarral-el pardo,438848.0,4482487.0,4049082275610170.0,-3.72160543300536e+16,['CursosTalleres']
11951863,La Bella Durmiente,latina,434222.0,4472418.0,4.03997646776371e+16,-3775144917950530.0,['DanzaBaile']
11912027,La bruja atrapasueños a domicilio,fuencarral-el pardo,441699.0,4482933.0,4049504564211650.0,-3.68800702560937e+16,['CuentacuentosTiteresMarionetas']
11955035,La casa encantada en el cabo,san blas-canillejas,448023.0,4477305.0,4044477474902180.0,-3.61291058446337e+16,['CineActividadesAudiovisuales']
11938980,La Casa Quirós,carabanchel,436243.0,4469562.0,4037420290010210.0,-3.75103374498486e+16,['TeatroPerformance']
11942013,"La cena de los idiotas, de Francis Veber",moratalaz,445141.0,4473033.0,4040609591857160.0,-3646536107063500.0,['TeatroPerformance']
11942563,La chica satélite y el chico vaca,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11944300,La clase de piano,arganzuela,440979.0,4472617.0,4040207279862860.0,-3.6955325387824e+16,['CineActividadesAudiovisuales']
11933689,La Comunidad Efímera (Arganzuela),unknown,Unknown,Unknown,Unknown,Unknown,['DanzaBaile']
11932905,La Comunidad Efímera - Usera,usera,439519.0,4469689.0,4037558213858420.0,-371245854352948.0,['DanzaBaile']
11932901,La Comunidad Efímera - Usera,usera,439519.0,4469689.0,4037558213858420.0,-371245854352948.0,['DanzaBaile']
11932902,La Comunidad Efímera - Usera,usera,439519.0,4469689.0,4037558213858420.0,-371245854352948.0,['DanzaBaile']
11932900,La Comunidad Efímera - Usera,usera,439519.0,4469689.0,4037558213858420.0,-371245854352948.0,['DanzaBaile']
11932903,La Comunidad Efímera - Usera,usera,439519.0,4469689.0,4037558213858420.0,-371245854352948.0,['DanzaBaile']
11932904,La Comunidad Efímera - Usera,usera,439519.0,4469689.0,4037558213858420.0,-371245854352948.0,['DanzaBaile']
11932899,La Comunidad Efímera - Usera,usera,440301.0,4469524.0,4.03741662486482e+16,-3.70322203088085e+16,['DanzaBaile']
11932897,La Comunidad Efímera - Usera,usera,440301.0,4469524.0,4.03741662486482e+16,-3.70322203088085e+16,['DanzaBaile']
11944328,La dama y el trovador,fuencarral-el pardo,441892.0,4485296.0,4051635495615330.0,-3685946562681170.0,['ComemoracionesHomenajes']
11908610,La escritura cautiva,retiro,441748.0,4474466.0,4041878362561590.0,-3.68665194710036e+16,['CuentacuentosTiteresMarionetas']
11292804,La escritura ensayística,fuencarral-el pardo,438848.0,4482487.0,4049082275610170.0,-3.72160543300536e+16,['CursosTalleres']
11292803,La escritura periodística,fuencarral-el pardo,438848.0,4482487.0,4049082275610170.0,-3.72160543300536e+16,['CursosTalleres']
11951903,La Fantástica Banda presenta OOH!,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,[]
11956054,La Ganga Calé - Hortaleza,hortaleza,444354.0,4479394.0,4046335596968570.0,-365636755952747.0,['1ciudad21distritos']
11949293,La gestión de la tristeza,centro,440645.0,4475347.0,4.04266422153681e+16,-3699722994908340.0,['ConferenciasColoquios']
11959058,La granja de los kids,unknown,Unknown,Unknown,Unknown,Unknown,['ActividadesCalleArteUrbano']
11944357,La Guerra Civil Española. Primer parte. Antecedentes,arganzuela,440979.0,4472617.0,4040207279862860.0,-3.6955325387824e+16,['ConferenciasColoquios']
11693850,La habitación blanca,centro,440597.0,4474036.0,4041482868269550.0,-3.70016635995621e+16,['TeatroPerformance']
